,0,1
0,nothing,19.4
1,everything,16.51
2,hotel,9.27
3,exceptional,7.21
4,clean,5.72
5,wonderful,5.49
6,patient,5.08
7,room,4.17
8,yeah,4.1
9,acceptable,4.02
10,quiet,3.56
11,weak,3.49
12,design,3.37
13,provide,3.06
14,car,2.95
15,staff,2.89
16,disappointing,2.89
17,p,2.86
18,comfortable,2.76
19,khias,2.65
20,close,2.62
21,area,2.58
22,smelled,2.55
23,two,2.45
24,also,2.44
25,gorgeous,2.44
26,treat,2.4
27,place,2.32
28,delicious,2.24
29,private,2.23
30,sophisticated,2.22
31,voice,2.22
32,large,2.22
33,course,2.21
34,good,2.18
35,procedure,2.17
36,delayed,2.14
37,device,2.09
38,give,2.08
39,friendly,2.06
40,fact,2.01
41,diversity,1.99
42,supermarket,1.9
43,wait,1.9
44,well,1.89
45,like,1.88
46,luxury,1.83
47,nuisance,1.83
48,fast,1.82
49,term,1.81
50,trip,1.8
51,praise,1.78
52,new,1.75
53,make,1.74
54,inform,1.72
55,junk,1.72
56,hour,1.71
57,location,1.69
58,okay,1.69
59,beautiful,1.68
60,general,1.64
61,insulation,1.63
62,open,1.62
63,connection,1.6
64,respectful,1.59
65,suction,1.58
66,compared,1.57
67,ethic,1.56
68,customer,1.53
69,bathtub,1.52
70,battuta,1.51
71,ibn,1.51
72,suitable,1.51
73,restaurant,1.5
74,strongly,1.5
75,dubai,1.49
76,allah,1.48
77,lovely,1.48
78,tired,1.47
79,breakfast,1.45
80,sweetest,1.45
81,privileged,1.44
82,employee,1.42
83,hassan,1.42
84,laundry,1.41
85,control,1.4
86,water,1.4
87,enough,1.38
88,grime,1.38
89,holiday,1.37
90,tv,1.37
